Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
6,Davis,Sacramento Valley,5/18/2023,138,0.23, ,0.00, ,671, ,14.8, ,86.1, ,50.8, ,67.6, ,96, ,38, ,64, ,55.0, ,3.6, ,87.4, ,65.9, 
6,Davis,Sacramento Valley,5/19/2023,139,0.24, ,0.00, ,677, ,15.1, ,85.0, ,52.5, ,68.0, ,97, ,44, ,65, ,55.6, ,4.2, ,100.6, ,66.0, 
6,Davis,Sacramento Valley,5/20/2023,140,0.23, ,0.00, ,680, ,14.3, ,80.8, ,50.9, ,64.6, ,97, ,48, ,69, ,54.1, ,5.0, ,120.3, ,65.1, 
6,Davis,Sacramento Valley,5/21/2023,141,0.22, ,0.00, ,645, ,15.0, ,87.2, ,49.8, ,67.3, ,96, ,37, ,66, ,55.4, ,3.5, ,83.4, ,65.2, 
6,Davis,Sacramento Valley,5/22/2023,142,0.25, ,0.00, ,672, ,14.9, ,90.2, ,51.8, ,70.6, ,95, ,29, ,58, ,55.3, ,4.2, ,102.0, ,66.3, 
6,Davis,Sacramento Valley,5/23/2023,143,0.23, ,0.00, ,649, ,13.5, ,75.3, ,53.6, ,63.7, ,88, ,51, ,67, ,52.5, ,7.1, ,171.1, ,64.8, 
6,Davis,Sacramento Valley,5/24/2023,144,0.23, ,0.01, ,674, ,12.4, ,73.1, ,51.4, ,61.3, ,86, ,49, ,67, ,50.2, ,7.2, ,173.5, ,62.4, 
6,Davis,Sacramento Valley,5/25/2023,145,0.23, ,0.00, ,672, ,12.8, ,73.3, ,49.6, ,61.3, ,94, ,51, ,69, ,51.2, ,6.7, ,160.2, ,62.0, 
6,Davis,Sacramento Valley,5/26/2023,146,0.22, ,0.00, ,669, ,13.1, ,75.6, ,51.8, ,62.3, ,90, ,49, ,68, ,51.8, ,5.8, ,139.7, ,62.1, 
6,Davis,Sacramento Valley,5/27/2023,147,0.23, ,0.00, ,676, ,13.9, ,77.2, ,51.4, ,63.0, ,93, ,52, ,71, ,53.3, ,5.5, ,131.3, ,62.7, 
6,Davis,Sacramento Valley,5/28/2023,148,0.17, ,0.00, ,491, ,14.1, ,78.0, ,55.1, ,62.8, ,93, ,52, ,72, ,53.8, ,4.8, ,114.5, ,63.4, 
6,Davis,Sacramento Valley,5/29/2023,149,0.24, ,0.00, ,675, ,13.1, ,78.0, ,51.4, ,63.4, ,94, ,48, ,66, ,51.7, ,6.1, ,145.7, ,63.0, 
6,Davis,Sacramento Valley,5/30/2023,150,0.24, ,0.00, ,674, ,12.5, ,76.2, ,51.0, ,63.4, ,86, ,49, ,62, ,50.4, ,6.2, ,149.4, ,62.6, 
6,Davis,Sacramento Valley,5/31/2023,151,0.23, ,0.00, ,684, ,13.5, ,77.4, ,51.5, ,63.0, ,93, ,48, ,69, ,52.6, ,5.4, ,129.9, ,63.1, 
6,Davis,Sacramento Valley,6/1/2023,152,0.23, ,0.00, ,695, ,13.4, ,79.6, ,48.9, ,64.1, ,95, ,40, ,65, ,52.3, ,4.7, ,112.5, ,63.2, 
6,Davis,Sacramento Valley,6/2/2023,153,0.24, ,0.00, ,694, ,13.6, ,86.4, ,49.8, ,67.5, ,94, ,34, ,59, ,52.8, ,3.7, ,89.7, ,64.4, 
6,Davis,Sacramento Valley,6/3/2023,154,0.26, ,0.00, ,692, ,14.3, ,90.6, ,52.1, ,71.7, ,97, ,29, ,54, ,54.2, ,3.6, ,86.2, ,65.2, 
6,Davis,Sacramento Valley,6/4/2023,155,0.27, ,0.00, ,682, ,14.8, ,92.5, ,54.1, ,73.4, ,95, ,25, ,53, ,55.0, ,4.0, ,96.0, ,65.8, 
6,Davis,Sacramento Valley,6/5/2023,156,0.24, ,0.00, ,607, ,14.9, ,83.6, ,55.4, ,68.0, ,89, ,46, ,64, ,55.3, ,5.7, ,137.8, ,65.7, 
6,Davis,Sacramento Valley,6/6/2023,157,0.15, ,0.00, ,404, ,13.7, ,74.0, ,56.5, ,64.0, ,82, ,53, ,67, ,53.0, ,6.7, ,160.6, ,64.3, 
