seqid	bp	p_val	calibrated.pvalue	p.bonf
Chr3	19917003	1.4131618956225283e-4	1.8049138789853047e-5	1
Chr12	17456643	1.418338560972643e-4	1.8168639796984373e-5	1
Chr9	21518386	1.4270566366416388e-4	1.8370587967750556e-5	1
Chr7	11761581	1.4625974261407777e-4	1.9202837230231344e-5	1
Chr8	22705317	1.46770995752855e-4	1.9323733995518663e-5	1
Chr2	24838540	1.4972316705655223e-4	2.0027581876660905e-5	1
Chr11	7499963	1.50551214687023e-4	2.022675146699741e-5	1
Chr6	18931577	1.5109298076210399e-4	2.0357474409523403e-5	1
Chr6	20181621	1.5395485094635224e-4	2.1053400982183272e-5	1
Chr3	14497103	1.5724815158916635e-4	2.1865353422848822e-5	1
Chr5	2997798	1.6065512648896148e-4	2.271770287839512e-5	1
Chr4	4681941	1.6188960313977694e-4	2.3029617077177716e-5	1
Chr10	10622082	1.6253952112859455e-4	2.3194484554062495e-5	1
Chr3	10617527	1.629025299470083e-4	2.3286766156069814e-5	1
Chr10	5914540	1.6392148719638114e-4	2.3546545735264963e-5	1
Chr2	18026912	1.6465582627055346e-4	2.3734444459436184e-5	1
Chr7	13134283	1.654864544205491e-4	2.3947667132104913e-5	1
Chr1	11667713	1.6660692797548335e-4	2.4236443371206837e-5	1
Chr5	8315131	1.6666500423007978e-4	2.4251447111104927e-5	1
Chr6	20146691	1.673359170972612e-4	2.442503058373477e-5	1
Chr8	10166103	1.6954688649688644e-4	2.5000394309846657e-5	1
Chr8	12417134	1.697376118350409e-4	2.5050265262226016e-5	1
Chr9	5957824	1.7141687363664222e-4	2.549098487912892e-5	1
Chr4	18946091	1.7216618102443125e-4	2.5688578534300966e-5	1
Chr9	11400428	1.7217140101870497e-4	2.5689957082754518e-5	1
Chr4	4682026	1.7278753668452897e-4	2.585286908149531e-5	1
Chr4	7960142	1.7603866023237403e-4	2.671892822123562e-5	1
Chr5	16291026	1.7810573762432402e-4	2.727515811324639e-5	1
Chr4	7766962	1.808019916586553e-4	2.8007160713560334e-5	1
Chr4	4683449	1.8529003153607498e-4	2.924168415284587e-5	1
Chr2	10381220	1.8572619808455748e-4	2.9362721886296607e-5	1
Chr11	5756591	1.8772241107574555e-4	2.9919059760596173e-5	1
Chr4	4680541	1.9081468799979584e-4	3.078853959536815e-5	1
Chr4	4681911	1.9143130375817784e-4	3.0963026619396406e-5	1
Chr5	2896711	1.9329194648230117e-4	3.149176303652475e-5	1
Chr4	24379767	1.9472601586367845e-4	3.190154737965801e-5	1
Chr14	10906752	1.9502971950276427e-4	3.198858271557788e-5	1
Chr9	5967299	1.9606390676610752e-4	3.228561924794129e-5	1
Chr4	4680001	1.965290387533246e-4	3.241954491350837e-5	1
Chr5	22360069	2.0069868436317675e-4	3.3629249939077186e-5	1
Chr14	14704377	2.0085022291006102e-4	3.367352263352228e-5	1
Chr4	4682737	2.01903065870327e-4	3.3981708840709266e-5	1
Chr7	8590867	2.026026870396952e-4	3.4187073090222056e-5	1
Chr4	4679537	2.033538085371181e-4	3.44080620310549e-5	1
Chr5	532650	2.0834880941107578e-4	3.589092990370184e-5	1
Chr4	4683509	2.106544020816006e-4	3.658311595527976e-5	1
Chr1	20201233	2.1237485359306026e-4	3.7102780281511764e-5	1
Chr4	24379676	2.153524974884626e-4	3.800849769669592e-5	1
Chr8	8192130	2.1542332230573946e-4	3.803013768852913e-5	1
Chr4	4681507	2.1596257727022207e-4	3.819505032333021e-5	1
Chr4	4682041	2.1792812581895128e-4	3.8798345046078715e-5	1
Chr2	9181370	2.198573281700625e-4	3.939382548630541e-5	1
Chr8	11075232	2.200775184421866e-4	3.946200051633639e-5	1
Chr4	24379772	2.2176247482453518e-4	3.998511114187144e-5	1
Chr4	4683561	2.2375089706181786e-4	4.060564676173516e-5	1
Chr7	7278110	2.2428551790151555e-4	4.077307881889776e-5	1
Chr5	15154455	2.2446553950344414e-4	4.0829513999114245e-5	1
Chr14	16587924	2.2478305363401045e-4	4.092912079084659e-5	1
Chr10	622323	2.2580722657949018e-4	4.125101087216201e-5	1
Chr5	14019980	2.2629879807298288e-4	4.140583222386443e-5	1
Chr12	17827032	2.2897143456379002e-4	4.2251246938341194e-5	1
Chr4	4681670	2.299910940215388e-4	4.257541224994237e-5	1
Chr10	4970973	2.3028589135776472e-4	4.266929936422441e-5	1
Chr11	9395376	2.3056856972201986e-4	4.275939687746322e-5	1
Chr2	13142475	2.3072338396088222e-4	4.280876955722668e-5	1
Chr5	10634908	2.3116089339984976e-4	4.2948409193340944e-5	1
Chr13	4801675	2.330371273533925e-4	4.3549101480834315e-5	1
Chr1	13823650	2.3601664194325116e-4	4.450917263569e-5	1
Chr5	17075885	2.3889560070141307e-4	4.544396516646809e-5	1
Chr4	4669575	2.495853516875059e-4	4.8975237976851134e-5	1
Chr1	14110243	2.518511776980107e-4	4.973577085409542e-5	1
Chr7	8295729	2.5444585758608364e-4	5.0611783695467707e-5	1
Chr12	7189249	2.564076889287763e-4	5.127772732465151e-5	1
Chr6	12255221	2.5772100721299873e-4	5.172525286226957e-5	1
Chr5	7534585	2.582897077909321e-4	5.191946938942779e-5	1
Chr1	24118141	2.628279819289805e-4	5.347851543307116e-5	1
Chr4	4682738	2.6288474863875956e-4	5.349811955123895e-5	1
Chr1	19177119	2.6664765094988526e-4	5.480324898011582e-5	1
Chr3	11143641	2.6732801048378555e-4	5.50404049641254e-5	1
Chr4	4681467	2.686168373566596e-4	5.549064235927869e-5	1
Chr5	3006749	2.70439144121571e-4	5.612943879657008e-5	1
Chr4	16911764	2.7104098023649246e-4	5.634097083551152e-5	1
Chr3	730803	2.745891314768332e-4	5.759371838472807e-5	1
Chr8	13566091	2.77836504875638e-4	5.8748686877491544e-5	1
Chr5	2991411	2.7929876127243174e-4	5.9271364997946915e-5	1
Chr7	14200178	2.800226728495881e-4	5.9530721260306696e-5	1
Chr11	9784733	2.860681199297422e-4	6.1711954450584e-5	1
Chr10	6681810	2.8742398476058604e-4	6.22048919998951e-5	1
Chr2	7502754	2.878651497376823e-4	6.236557478496172e-5	1
Chr8	8192098	2.885899658629033e-4	6.262988184054817e-5	1
Chr9	6191084	2.899621323170014e-4	6.313130706005122e-5	1
Chr4	7766985	2.939606476782832e-4	6.460033547026364e-5	1
Chr4	4681643	2.9400919026004857e-4	6.461824135485972e-5	1
Chr11	8519942	2.9410729342645484e-4	6.465443386447781e-5	1
Chr1	17091585	2.9442048977942117e-4	6.47700260005855e-5	1
Chr5	3006138	2.967908475175406e-4	6.564716618686683e-5	1
Chr4	15036181	2.997806080633834e-4	6.675929835769847e-5	1
Chr7	4380576	3.026928823927763e-4	6.784877126213607e-5	1
Chr11	5019944	3.069652454754124e-4	6.945796962195586e-5	1
Chr2	13156074	3.0706655388526853e-4	6.949628448080762e-5	1
